name,n_features,cv_auc,cv_pr_auc,drop_calc,extra_drop,add_extras,te_cat
drop_calc+opt+extras,37,0.6184223537516288,0.05880822058084326,True,"['ps_ind_14', 'ps_car_10_cat']",True,True
drop_calc+extras,39,0.6183017764114195,0.058499543916012406,True,[],True,True
drop_calc_only,37,0.6181549441046653,0.05844901629432831,True,[],False,True
all_features,57,0.616990817856956,0.058386179756384646,False,[],False,True
